#id arrival runtime priority
1	0	4	4
2	2	1	4
3	2	1	4
4	2	1	4
5	2	1	4
6	2	1	4
7	2	1	4
8	2	1	4
9	2	1	4
10	2	1	4
11	2	1	4
12	2	1	4
13	2	1	4
14	2	1	4
15	2	1	4
16	2	1	4
17	2	1	4
18	2	1	4
19	2	1	4
2	2	1	4
3	2	1	4
4	2	1	4
5	2	1	4
6	2	1	4
7	2	1	4
8	2	1	4
9	2	1	4
10	2	1	4
11	2	1	4
12	2	1	4
13	2	1	4
14	2	1	4
15	2	1	4
16	2	1	4
17	2	1	4
18	2	1	4
19	2	1	4
2	2	1	4
3	2	1	4
4	2	1	4
5	2	1	4
6	2	1	4
7	2	1	4
8	2	1	4
9	2	1	4
10	2	1	4
11	2	1	4
12	2	1	4
13	2	1	4
14	2	1	4
15	2	1	4
16	2	1	4
17	2	1	4
18	2	1	4
19	2	1	4
2	2	1	4
3	2	1	4
4	2	1	4
5	2	1	4
6	2	1	4
7	2	1	4
8	2	1	4
9	2	1	4
10	2	1	4
11	2	1	4
12	2	1	4
13	2	1	4
14	2	1	4
15	2	1	4
16	2	1	4
17	2	1	4
18	2	1	4
19	2	1	4
